Security Code,Security Name,Name of Person,Category of person,Type of Securities held Prior to acquisition/Disposed),Number of Securities held Prior to acquisition/Disposed,%   of  Securities held Prior to acquisition/Disposed,Type of Securities Acquired/Disposed/Pledge etc.,Number of Securities Acquired/Disposed/Pledge etc.,Value  of Securities Acquired/Disposed/Pledge etc,Transaction Type ( Buy/Sale/Pledge/Revoke/Invoke),Type of Securities held Post  acquisition/Disposed/Pledge  etc,Number of Securities held Post  acquisition/Disposed/Pledge etc,Post-Transaction % of Shareholding,Date of acquisition of shares/sale of shares/Date of Allotment(From date),Date of acquisition of shares/sale of shares/Date of Allotment( To date  ),Date of Intimation to Company,Mode of Acquisition,Trading in Derivative - Type of Contract,Derivative Contract  Specification,Derivatives - Buy Value (Notional),Derivatives - Buy-Number of Units(Contracts*lot size),Derivatives - Sales Value (Notional),Derivatives - Sales-Number of Units(Contracts * lot size),Exchange on which the Trade was executed,Reported to Exchange
533148,JSW Energy Ltd,JSW Energy Employees ESOP Trust,Trust,Equity Shares,23000,0.00,Equity Shares,1000,51960.00,Disposal,Equity,22000,0.00,23 Mar 2026,23 Mar 2026,25 Mar 2026,ESOP,,,,,,,NA,30 Mar 2026
542231,Nila Spaces Ltd,SIDDHARTH R VADODARIA,Promoter Group,Equity Shares,6800000,1.73,Equity Shares,6800000,0.00,Disposal,Equity,0,0.00,27 Mar 2026,27 Mar 2026,30 Mar 2026,Gift,,,,,,,NA,30 Mar 2026
542231,Nila Spaces Ltd,KARAN R VADODARIA,Promoter Group,Equity Shares,6800000,1.73,Equity Shares,6800000,0.00,Disposal,Equity,0,0.00,27 Mar 2026,27 Mar 2026,30 Mar 2026,Gift,,,,,,,NA,30 Mar 2026
542231,Nila Spaces Ltd,CHHAYABEN R VADODARIA,Promoter Group,Equity Shares,4300000,1.09,Equity Shares,13600000,0.00,Acquisition,Equity,17900000,4.55,27 Mar 2026,27 Mar 2026,30 Mar 2026,Gift,,,,,,,NA,30 Mar 2026
505700,Elecon Engineering Company Ltd,Pradip Manubhai Patel,Director,Equity Shares,38502,0.02,Equity Shares,38502,0.00,Disposal,Equity,0,0.00,20 Mar 2026,20 Mar 2026,28 Mar 2026,Off Market,,,,,,,NA,30 Mar 2026
505700,Elecon Engineering Company Ltd,Pradip Manubhai Patel jointly with Trupti Pardip Patel,Director,Equity Shares,86322,0.03,Equity Shares,38502,0.00,Acquisition,Equity,124824,0.05,20 Mar 2026,20 Mar 2026,28 Mar 2026,Off Market,,,,,,,NA,30 Mar 2026
542665,Neogen Chemicals Ltd,Harin Haridas Kanani,Promoter & Director,Equity Shares,3338250,12.65,Equity Shares,1319083,0.00,Pledge,Equity,3338250,12.65,30 Mar 2026,30 Mar 2026,30 Mar 2026,Creation Of Pledge,,,,,,,NA,30 Mar 2026
532172,Adroit Infotech Ltd,SUDHAKIRAN REDDY SUNKERNENI,Promoter & Director,Equity Shares,8239472,15.21,Equity Shares,134812,1197131.00,Acquisition,Equity,8374284,15.46,01 Mar 2026,27 Mar 2026,30 Mar 2026,Market Purchase,,,,,,,NSE,30 Mar 2026
530377,Nila Infrastructures Ltd,SIDDHARTH R VADODARIA,Promoter Group,Equity Shares,6800000,1.73,Equity Shares,6800000,0.00,Disposal,Equity,0,0.00,27 Mar 2026,27 Mar 2026,30 Mar 2026,Gift,,,,,,,NA,30 Mar 2026
530377,Nila Infrastructures Ltd,KARAN R VADODARIA,Promoter Group,Equity Shares,6800000,1.73,Equity Shares,6800000,0.00,Disposal,Equity,0,0.00,27 Mar 2026,27 Mar 2026,30 Mar 2026,Gift,,,,,,,NA,30 Mar 2026
530377,Nila Infrastructures Ltd,CHHAYABEN R VADODARIA,Promoter Group,Equity Shares,4300000,1.09,Equity Shares,13600000,0.00,Acquisition,Equity,17900000,4.55,27 Mar 2026,27 Mar 2026,30 Mar 2026,Gift,,,,,,,NA,30 Mar 2026
540724,Prataap Snacks Ltd,Authum Investment & Infrastructure Limited,Promoter,Equity Shares,10435736,43.66,Equity Shares,80000,80680800.00,Acquisition,Equity,10515736,44.00,30 Mar 2026,30 Mar 2026,30 Mar 2026,Market Purchase,,,,,,,NSE,30 Mar 2026
503310,Swan Corp Ltd,Dave Impex Private Limited,Promoter Group,Equity Shares,46030400,14.68,Equity Shares,4900000,1470000000.00,Pledge,Equity,46030400,14.68,30 Mar 2026,30 Mar 2026,30 Mar 2026,Creation Of Pledge,,,,,,,NA,30 Mar 2026
511712,Relic Technologies Ltd,Alisha Kunal Gandhi,Promoter,Equity Shares,182000,3.26,Equity Shares,5000,348324.00,Acquisition,Equity,187000,3.33,17 Mar 2026,24 Mar 2026,26 Mar 2026,Market Purchase,,,,,,,BSE,30 Mar 2026
540526,IRB InvIT Fund,Virendra D. Mhaiskar,Other,Any other instrument,13806000,1.08,Any other instrument,522000,31058739.00,Acquisition,-,14328000,1.12,27 Mar 2026,27 Mar 2026,30 Mar 2026,Market Purchase,,,,,,,NSE,30 Mar 2026
540526,IRB InvIT Fund,Virendra D. Mhaiskar,Other,Any other instrument,14328000,1.12,Any other instrument,522000,31340932.00,Acquisition,-,14850000,1.16,30 Mar 2026,30 Mar 2026,30 Mar 2026,Market Purchase,,,,,,,NSE,30 Mar 2026
532947,IRB Infrastructure Developers Ltd,IRB Holding Private Limited,Promoter Group,Equity Shares,1805723150,29.90,Equity Shares,1200000,49372920.00,Acquisition,Equity,1806923150,29.92,27 Mar 2026,27 Mar 2026,30 Mar 2026,Market Purchase,,,,,,,NSE,30 Mar 2026
532947,IRB Infrastructure Developers Ltd,IRB Holding Private Limited,Promoter Group,Equity Shares,1806923150,29.92,Equity Shares,2462400,54443172.00,Acquisition,Equity,1809385550,29.96,30 Mar 2026,30 Mar 2026,30 Mar 2026,Market Purchase,,,,,,,NSE,30 Mar 2026
512443,Ganon Products Ltd,Kamla Business Ventures Private Limited,Promoter,Equity Shares,1237969,13.23,Equity Shares,100000,1610000.00,Disposal,Equity,1137969,12.16,27 Mar 2026,27 Mar 2026,28 Mar 2026,Market Sale,,,,,,,BSE,30 Mar 2026
511630,Sambhaav Media Ltd,Chhayaben R. Vadodaria,Promoter Group,Equity Shares,2810000,1.47,Equity Shares,3265250,2.00,Acquisition,Equity,6075250,3.18,27 Mar 2026,27 Mar 2026,30 Mar 2026,Gift,,,,,,,NA,30 Mar 2026
511630,Sambhaav Media Ltd,Siddharth R. Vadodaria,Promoter Group,Equity Shares,1636625,0.86,Equity Shares,1636625,1.00,Disposal,Equity,0,0.00,27 Mar 2026,27 Mar 2026,30 Mar 2026,Gift,,,,,,,NA,30 Mar 2026
511630,Sambhaav Media Ltd,Karan R. Vadodaria,Promoter Group,Equity Shares,1628625,0.85,Equity Shares,1628625,1.00,Disposal,Equity,0,0.00,27 Mar 2026,27 Mar 2026,30 Mar 2026,Gift,,,,,,,NA,30 Mar 2026
513401,Ashiana Ispat Ltd,KAMDHENU STEELS AND ALLOYS LIMITED,Connected Person,Equity Shares,253291,3.18,Equity Shares,252000,6302000.00,Disposal,Equity,1291,0.02,27 Mar 2026,30 Mar 2026,30 Mar 2026,Off Market,,,,,,,NA,30 Mar 2026
536264,Tiger Logistics (India) Ltd,Brahma Suppliers Private Limited,Promoter Group,Equity Shares,34890000,33.00,Equity Shares,70000,1769576.00,Acquisition,Equity,34960000,33.07,27 Mar 2026,27 Mar 2026,30 Mar 2026,Market Purchase,,,,,,,NSE,30 Mar 2026
540757,Sheetal Cool Products Ltd,Yash Bhupatbhai Bhuva,Promoter Group,Equity Shares,145555,1.39,Equity Shares,9004,0.00,Acquisition,Equity,154559,1.47,28 Mar 2026,28 Mar 2026,30 Mar 2026,Gift,,,,,,,NA,30 Mar 2026
513401,Ashiana Ispat Ltd,KAMDHENU STEELS AND ALLOYS LIMITED,Connected Person,Equity Shares,3291,0.04,Equity Shares,250000,6250000.00,Acquisition,Equity,253291,3.18,01 Mar 2026,03 Mar 2026,28 Mar 2026,Off Market,,,,,,,NA,30 Mar 2026
543453,Alkosign Ltd,SAMIR NARENDRA SHAH,Promoter & Director,Equity Shares,1288123,11.94,Equity Shares,6750,404978.00,Acquisition,Equity,1294873,12.00,27 Mar 2026,27 Mar 2026,30 Mar 2026,Market Purchase,,,,,,,BSE,30 Mar 2026
513401,Ashiana Ispat Ltd,ASHIANA FINCAP PRIVATE LIMITED,Promoter Group,Equity Shares,140000,1.76,Equity Shares,252000,6302000.00,Acquisition,Equity,392000,4.92,27 Mar 2026,30 Mar 2026,30 Mar 2026,Off Market,,,,,,,NA,30 Mar 2026
530499,AK Capital Services Ltd,A. K. Mittal,Promoter & Director,Equity Shares,1164512,17.64,Equity Shares,5,7644.00,Acquisition,Equity,1164517,17.64,27 Mar 2026,27 Mar 2026,30 Mar 2026,Market Purchase,,,,,,,BSE,30 Mar 2026
533676,Indo Thai Securities Ltd,Sarthak Doshi,Promoter Group,Equity Shares,5920500,4.60,Equity Shares,20500,5844960.00,Disposal,Equity,5900000,4.58,30 Mar 2026,30 Mar 2026,30 Mar 2026,Inheritance,,,,,,,NA,30 Mar 2026
514142,T T Ltd-$,T.T. BRANDS LIMITED,Promoter Group,Equity Shares,88814138,34.38,Equity Shares,148000,1242278.00,Acquisition,Equity,88962138,34.43,30 Mar 2026,30 Mar 2026,30 Mar 2026,Market Purchase,,,,,,,NSE,30 Mar 2026
531109,Ishan Dyes and Chemicals Ltd,Piyushbhai Natvarlal Patel,Promoter & Director,Equity Shares,2019593,7.60,Equity Shares,740700,46664100.00,Acquisition,Equity,2760293,10.11,28 Mar 2026,28 Mar 2026,30 Mar 2026,Preferential Offer,,,,,,,NA,30 Mar 2026
505872,WPIL Ltd,HSM Investments Ltd,Promoter Group,Equity Shares,6397150,6.55,Equity Shares,200000,77550000.00,Invoke,Equity,6397150,6.55,30 Mar 2026,30 Mar 2026,30 Mar 2026,Creation Of Pledge,,,,,,,NA,30 Mar 2026
543652,Fusion Finance Ltd,Devesh Sachdev,Promoter,Equity Shares,3978363,2.45,Equity Shares,600000,88986000.00,Disposal,Equity,3378363,2.08,25 Mar 2026,25 Mar 2026,27 Mar 2026,Gift,,,,,,,NA,30 Mar 2026
543652,Fusion Finance Ltd,Eshaan Sachdev,Promoter Group,Equity Shares,0,0.00,Equity Shares,300000,44493000.00,Acquisition,Equity,300000,0.18,25 Mar 2026,25 Mar 2026,27 Mar 2026,Gift,,,,,,,NA,30 Mar 2026
543652,Fusion Finance Ltd,Udyan Sachdev,Promoter Group,Equity Shares,0,0.00,Equity Shares,300000,44493000.00,Acquisition,Equity,300000,0.18,25 Mar 2026,25 Mar 2026,27 Mar 2026,Gift,,,,,,,NA,30 Mar 2026
504176,High Energy Batteries India Ltd,SESHASAYEE PAPER AND BOARDS LIMITED,Promoter,Equity Shares,1602381,17.88,Equity Shares,5461,2809075.00,Acquisition,Equity,1607842,17.94,30 Mar 2026,30 Mar 2026,30 Mar 2026,Market Purchase,,,,,,,BSE,30 Mar 2026
538837,Jeevan Scientific Technology Ltd,Nageswar Rao Yarlagadda,Director,Equity Shares,133900,0.67,Equity Shares,100000,1000000.00,Disposal,Equity,33900,0.17,27 Mar 2026,27 Mar 2026,30 Mar 2026,Off Market,,,,,,,NA,30 Mar 2026
504092,Indokem Ltd,Leelabai Kishore Khatau,Promoter,Equity Shares,80883,0.29,Equity Shares,20000,10905000.00,Disposal,Equity,60883,0.21,24 Mar 2026,24 Mar 2026,30 Mar 2026,Gift,,,,,,,NA,30 Mar 2026
504092,Indokem Ltd,Leelabai Kishore Khatau,Promoter,Equity Shares,60883,0.21,Equity Shares,20000,10905000.00,Disposal,Equity,40883,0.14,24 Mar 2026,24 Mar 2026,30 Mar 2026,Gift,,,,,,,NA,30 Mar 2026
504092,Indokem Ltd,Leelabai Kishore Khatau,Promoter,Equity Shares,40883,0.14,Equity Shares,10000,5203500.00,Disposal,Equity,30883,0.11,27 Mar 2026,27 Mar 2026,30 Mar 2026,Gift,,,,,,,NA,30 Mar 2026
504092,Indokem Ltd,Leelabai Kishore Khatau,Promoter,Equity Shares,30883,0.11,Equity Shares,10000,4943500.00,Disposal,Equity,20883,0.07,30 Mar 2026,30 Mar 2026,30 Mar 2026,Gift,,,,,,,NA,30 Mar 2026
504092,Indokem Ltd,Priya Mahendra Khatau,Promoter,Equity Shares,47015,0.17,Equity Shares,20000,10905000.00,Acquisition,Equity,67015,0.24,24 Mar 2026,24 Mar 2026,30 Mar 2026,Gift,,,,,,,NA,30 Mar 2026
504092,Indokem Ltd,Rheyna Manish Khatau,Promoter Group,Equity Shares,0,0.00,Equity Shares,20000,10905000.00,Acquisition,Equity,20000,0.07,24 Mar 2026,24 Mar 2026,30 Mar 2026,Gift,,,,,,,NA,30 Mar 2026
504092,Indokem Ltd,Nirvaan Siddharth Singhania,Promoter Group,Equity Shares,0,0.00,Equity Shares,10000,5203500.00,Acquisition,Equity,10000,0.03,27 Mar 2026,27 Mar 2026,30 Mar 2026,Gift,,,,,,,NA,30 Mar 2026
504092,Indokem Ltd,Vivaan Siddharth Singhania,Promoter Group,Equity Shares,0,0.00,Equity Shares,10000,4943500.00,Acquisition,Equity,10000,0.03,30 Mar 2026,30 Mar 2026,30 Mar 2026,Gift,,,,,,,NA,30 Mar 2026
544220,Clinitech Laboratory Ltd,Mr. Jagdish Umakant Nayak,Promoter & Director,Equity Shares,722500,31.65,Equity Shares,9600,336000.00,Acquisition,Equity,732100,32.08,30 Mar 2026,30 Mar 2026,30 Mar 2026,Market Purchase,,,,,,,BSE,30 Mar 2026
500187,Agi Greenpac Ltd,Sandip Somany,Promoter,Equity Shares,5597731,8.65,Equity Shares,50000,24662460.00,Acquisition,Equity,5647731,8.72,27 Mar 2026,27 Mar 2026,30 Mar 2026,Market Purchase,,,,,,,NSE,30 Mar 2026
532508,Jindal Stainless Ltd,JSL OVERSEAS HOLDING LIMITED,Promoter Group,Equity Shares,140747269,17.07,Equity Shares,434303,313328474.00,Acquisition,Equity,141181572,17.12,25 Mar 2026,27 Mar 2026,30 Mar 2026,Market Purchase,,,,,,,NSE,30 Mar 2026
533296,Future Market Networks Ltd,Surplus Finvest Private Limited,Promoter Group,Equity Shares,3245494,5.35,Equity Shares,3000000,30000000.00,Acquisition,Equity,6245494,10.30,27 Mar 2026,27 Mar 2026,30 Mar 2026,Allotment,,,,,,,NA,30 Mar 2026
524594,Aeonx Digital Technology Ltd,Manan Chetan  Shah,Promoter,Equity Shares,685,0.01,Equity Shares,114651,13102806.00,Acquisition,Equity,115336,2.51,27 Mar 2026,27 Mar 2026,30 Mar 2026,Market Purchase,,,,,,,BSE,30 Mar 2026
526947,La Opala RG Ltd,GENESIS EXPORTS PRIVATE LIMITED,Promoter,Equity Shares,52075000,46.91,Equity Shares,25000,4372903.00,Acquisition,Equity,52100000,46.94,27 Mar 2026,27 Mar 2026,30 Mar 2026,Market Purchase,,,,,,,NSE,30 Mar 2026
531637,Praveg Ltd,Vishnukumar Vitthaldas Patel,Promoter & Director,Equity Shares,5653087,21.63,Equity Shares,10415,1979400.00,Acquisition,Equity,5663502,21.67,30 Mar 2026,30 Mar 2026,30 Mar 2026,Market Purchase,,,,,,,BSE,30 Mar 2026
539289,Aurum PropTech Ltd,Srirang Athalye,Designated Person,Equity Shares,123272,0.16,Equity Shares,4000,680058.00,Acquisition,Equity,127272,0.17,25 Mar 2026,25 Mar 2026,27 Mar 2026,Market Purchase,,,,,,,BSE,30 Mar 2026
539289,Aurum PropTech Ltd,Srirang Athalye,Designated Person,Equity Shares,127272,0.17,Equity Shares,848,141484.00,Acquisition,Equity,128120,0.17,27 Mar 2026,27 Mar 2026,27 Mar 2026,Market Purchase,,,,,,,BSE,30 Mar 2026
539289,Aurum PropTech Ltd,Srirang Athalye,Designated Person,Equity Shares,128120,0.17,Equity Shares,2000,335014.00,Acquisition,Equity,130120,0.17,27 Mar 2026,27 Mar 2026,27 Mar 2026,Market Purchase,,,,,,,NSE,30 Mar 2026
539289,Aurum PropTech Ltd,Onkar Shetye,Director,Equity Shares,27677,0.04,Equity Shares,5000,860000.00,Disposal,Equity,22677,0.03,25 Mar 2026,25 Mar 2026,30 Mar 2026,Market Sale,,,,,,,NSE,30 Mar 2026
539289,Aurum PropTech Ltd,Onkar Shetye,Director,Equity Shares,22677,0.03,Equity Shares,7500,1179750.00,Disposal,Equity,15177,0.02,30 Mar 2026,30 Mar 2026,30 Mar 2026,Market Sale,,,,,,,NSE,30 Mar 2026
544726,Kotyark Industries Ltd,Gaurang R Shah HUF,Promoter Group,Equity Shares,459200,4.47,Equity Shares,110648,44258984.00,Disposal,Equity,348552,3.39,25 Mar 2026,25 Mar 2026,27 Mar 2026,Market Sale,,,,,,,NSE,30 Mar 2026
531129,Inani Marbles & Industries Ltd,Vimla Inani,Promoter Group,Equity Shares,833962,4.47,Equity Shares,10000,97498.00,Acquisition,Equity,843962,4.53,27 Mar 2026,27 Mar 2026,30 Mar 2026,Market Purchase,,,,,,,BSE,30 Mar 2026
531129,Inani Marbles & Industries Ltd,Indira Inani,Promoter Group,Equity Shares,420728,2.26,Equity Shares,10000,92000.00,Acquisition,Equity,430728,2.31,27 Mar 2026,27 Mar 2026,30 Mar 2026,Market Purchase,,,,,,,BSE,30 Mar 2026
531129,Inani Marbles & Industries Ltd,Varsha Inani,Promoter Group,Equity Shares,584375,3.14,Equity Shares,10000,95370.00,Acquisition,Equity,594375,3.19,27 Mar 2026,27 Mar 2026,30 Mar 2026,Market Purchase,,,,,,,BSE,30 Mar 2026
544441,Meta Infotech Ltd,Venu Gopal Peruri,Promoter & Director,Equity Shares,13105121,69.41,Equity Shares,69600,3967200.00,Acquisition,Equity,13174721,69.78,30 Mar 2026,30 Mar 2026,30 Mar 2026,Market Purchase,,,,,,,BSE,30 Mar 2026
522101,Kilburn Engineering Ltd,Ekta Credit Private Limited,Promoter Group,Equity Shares,1298235,2.47,Equity Shares,150000,63750000.00,Acquisition,Equity,1448235,2.73,27 Mar 2026,27 Mar 2026,30 Mar 2026,Conversion of security,,,,,,,NA,30 Mar 2026
522101,Kilburn Engineering Ltd,Vivaya Enterprises Private Limited,Promoter Group,Equity Shares,1328235,2.53,Equity Shares,150000,63750000.00,Acquisition,Equity,1478235,2.79,27 Mar 2026,27 Mar 2026,30 Mar 2026,Conversion of security,,,,,,,NA,30 Mar 2026
522101,Kilburn Engineering Ltd,Firstview Trading Private Limited,Promoter,Equity Shares,15488600,29.52,Equity Shares,200000,85000000.00,Acquisition,Equity,15688600,29.62,27 Mar 2026,27 Mar 2026,30 Mar 2026,Conversion of security,,,,,,,NA,30 Mar 2026
540718,Aayush Art And Bullion Ltd,ARHAT TOUCH PRIVATE LIMITED,Promoter,Equity Shares,2270175,14.83,Equity Shares,600500,665354000.00,Acquisition,Equity,2870675,18.75,25 Mar 2026,25 Mar 2026,30 Mar 2026,Off Market,,,,,,,BSE,30 Mar 2026
519299,Prime Industries Ltd,RAJINDER KUMAR SINGHANIA,Promoter & Director,Equity Shares,2350306,11.19,Equity Shares,1040000,0.00,Disposal,Equity,1310306,6.24,25 Mar 2026,25 Mar 2026,25 Mar 2026,Gift,,,,,,,NA,30 Mar 2026
519299,Prime Industries Ltd,PUNEET SINGHANIA,Promoter,Equity Shares,79334,0.38,Equity Shares,1040000,0.00,Acquisition,Equity,1119334,5.33,25 Mar 2026,25 Mar 2026,25 Mar 2026,Gift,,,,,,,NA,30 Mar 2026
522249,Mayur Uniquoters Ltd-$,Kiran Poddar,Promoter,Equity Shares,74659,0.17,Equity Shares,9068,4669543.00,Acquisition,Equity,83727,0.19,27 Mar 2026,27 Mar 2026,29 Mar 2026,Market Purchase,,,,,,,NSE,30 Mar 2026
522101,Kilburn Engineering Ltd,Yashodhara Khaitan,Promoter,Equity Shares,10000,0.02,Equity Shares,25000,12102401.00,Acquisition,Equity,35000,0.07,25 Mar 2026,25 Mar 2026,27 Mar 2026,Market Purchase,,,,,,,BSE,30 Mar 2026
522101,Kilburn Engineering Ltd,Yashodhara Khaitan,Promoter,Equity Shares,35000,0.07,Equity Shares,25000,11829793.00,Acquisition,Equity,60000,0.11,27 Mar 2026,27 Mar 2026,30 Mar 2026,Market Purchase,,,,,,,BSE,30 Mar 2026
527001,Ashapura Minechem Ltd,CHETAN NAVNITLAL SHAH,Promoter,Equity Shares,6547767,6.85,Equity Shares,80000,38887328.00,Acquisition,Equity,6627767,6.94,27 Mar 2026,27 Mar 2026,27 Mar 2026,Market Purchase,,,,,,,NSE,30 Mar 2026
532799,Hubtown Ltd,Kushal H. Shah,Promoter Group,Equity Shares,3943739,2.78,Equity Shares,1400000,253610000.00,Invoke,Equity,2543739,1.79,27 Mar 2026,27 Mar 2026,30 Mar 2026,Invocation Of Pledged,,,,,,,NA,30 Mar 2026
530475,Tinna Rubber and Infrastructure Ltd,BHUPINDER KUMAR SEKHRI,Promoter & Director,Equity Shares,9020786,50.07,Equity Shares,5404730,0.00,Disposal,Equity,3616056,20.07,26 Mar 2026,26 Mar 2026,30 Mar 2026,Inter-se Transfer,,,,,,,NA,30 Mar 2026
530475,Tinna Rubber and Infrastructure Ltd,SEKHRI FAMILY ANNUITY TRUST,Promoter Group,Equity Shares,11341,0.06,Equity Shares,5404730,0.00,Acquisition,Equity,5416071,30.06,26 Mar 2026,26 Mar 2026,30 Mar 2026,Inter-se Transfer,,,,,,,NA,30 Mar 2026
532799,Hubtown Ltd,Vyomesh Mahipatray Shah HUF ,Promoter Group,Equity Shares,3925000,2.76,Equity Shares,1711170,309978446.00,Invoke,Equity,2213830,1.56,27 Mar 2026,27 Mar 2026,30 Mar 2026,Invocation Of Pledged,,,,,,,NA,30 Mar 2026
543974,Vishnu Prakash R Punglia Ltd,Anil Punglia,Promoter Group,Equity Shares,3300000,2.65,Equity Shares,550000,20091500.00,Pledge,Equity,3300000,2.65,17 Mar 2026,17 Mar 2026,27 Mar 2026,Creation Of Pledge,,,,,,,NA,30 Mar 2026
543974,Vishnu Prakash R Punglia Ltd,Anil Punglia,Promoter Group,Equity Shares,3300000,2.65,Equity Shares,640000,23456000.00,Pledge,Equity,3300000,2.65,19 Mar 2026,19 Mar 2026,27 Mar 2026,Creation Of Pledge,,,,,,,NA,30 Mar 2026
543974,Vishnu Prakash R Punglia Ltd,Kamal Kishor Pungalia,Promoter & Director,Equity Shares,5650000,4.53,Equity Shares,750000,27397500.00,Pledge,Equity,5650000,4.53,17 Mar 2026,17 Mar 2026,27 Mar 2026,Creation Of Pledge,,,,,,,NA,30 Mar 2026
543974,Vishnu Prakash R Punglia Ltd,Sanjay Kumar Punglia,Promoter & Director,Equity Shares,5349883,4.29,Equity Shares,200000,7306000.00,Pledge,Equity,5349883,4.29,17 Mar 2026,17 Mar 2026,27 Mar 2026,Creation Of Pledge,,,,,,,NA,30 Mar 2026
543974,Vishnu Prakash R Punglia Ltd,Ajay Pungalia,Promoter & Director,Equity Shares,6650000,5.34,Equity Shares,250000,9132500.00,Pledge,Equity,6650000,5.34,17 Mar 2026,17 Mar 2026,27 Mar 2026,Creation Of Pledge,,,,,,,NA,30 Mar 2026
543974,Vishnu Prakash R Punglia Ltd,Ajay Pungalia,Promoter & Director,Equity Shares,6650000,5.34,Equity Shares,300000,11769000.00,Pledge,Equity,6650000,5.34,18 Mar 2026,18 Mar 2026,27 Mar 2026,Creation Of Pledge,,,,,,,NA,30 Mar 2026
543974,Vishnu Prakash R Punglia Ltd,Pushpa Devi Pungalia,Promoter Group,Equity Shares,3395493,2.72,Equity Shares,450000,17653500.00,Pledge,Equity,3395493,2.72,18 Mar 2026,18 Mar 2026,27 Mar 2026,Creation Of Pledge,,,,,,,NA,30 Mar 2026
543974,Vishnu Prakash R Punglia Ltd,Manohar Lal Punglia,Promoter & Director,Equity Shares,8220000,6.59,Equity Shares,200000,7846000.00,Pledge,Equity,8220000,6.59,18 Mar 2026,18 Mar 2026,27 Mar 2026,Creation Of Pledge,,,,,,,NA,30 Mar 2026
544444,Glen Industries Ltd,Lalit AgrawalHUF ,Promoter Group,Equity Shares,117800,0.49,Equity Shares,24000,1501800.00,Acquisition,Equity,141800,0.59,27 Mar 2026,30 Mar 2026,30 Mar 2026,Market Purchase,,,,,,,BSE,30 Mar 2026
542651,KPIT Technologies Ltd,KPIT Technologies Limited Employees Welfare Trust,Other,Equity Shares,1930804,0.70,Equity Shares,2005,20050.00,Disposal,Equity,1928799,0.70,25 Mar 2026,25 Mar 2026,26 Mar 2026,ESOP,,,,,,,NA,30 Mar 2026
542651,KPIT Technologies Ltd,KPIT Technologies Limited Employees Welfare Trust,Other,Equity Shares,1928799,0.70,Equity Shares,6840,68400.00,Disposal,Equity,1921959,0.70,25 Mar 2026,25 Mar 2026,26 Mar 2026,ESOP,,,,,,,NA,30 Mar 2026
523650,Yash Innoventures Ltd,MR. GNANESH RAJENDRABHAI BHAGAT,Promoter Group,Equity Shares,9710510,60.58,Equity Shares,191277,9563850.00,Disposal,Equity,9519233,59.38,27 Mar 2026,27 Mar 2026,30 Mar 2026,Market Sale,,,,,,,BSE,30 Mar 2026
522251,Cenlub Industries Ltd,PARVEEN KUMAR ARORA,Employee,Equity Shares,531,0.01,Equity Shares,314,48661.00,Acquisition,Equity,845,0.02,25 Mar 2026,30 Mar 2026,30 Mar 2026,Market Purchase,,,,,,,BSE,30 Mar 2026
519216,Ajanta Soya Ltd,CKG FAMILY TRUST,Promoter Group,Equity Shares,733580,0.91,Equity Shares,345000,6973575.00,Acquisition,Equity,1078580,1.34,18 Mar 2026,27 Mar 2026,30 Mar 2026,Market Purchase,,,,,,,BSE,30 Mar 2026
500171,GHCL Ltd,Manoj Kumar Ishwar,Employee,Equity Shares,500,0.00,Equity Shares,400,169400.00,Acquisition,Equity,900,0.00,30 Mar 2026,30 Mar 2026,30 Mar 2026,Market Purchase,,,,,,,NSE,30 Mar 2026
544290,Enviro Infra Engineers Ltd,Manish Jain,Promoter & Director,Equity Shares,48831000,27.82,Equity Shares,100000,14175000.00,Acquisition,Equity,48931000,27.88,27 Mar 2026,27 Mar 2026,30 Mar 2026,Market Purchase,,,,,,,NSE,30 Mar 2026
532732,Kewal Kiran Clothing Ltd,M/s Kewal Kiran Finance Private Limited,Promoter Group,Equity Shares,34475,0.06,Equity Shares,9001,3976118.00,Acquisition,Equity,43476,0.07,27 Mar 2026,30 Mar 2026,30 Mar 2026,Market Purchase,,,,,,,NSE,30 Mar 2026
527001,Ashapura Minechem Ltd,Ashapura Industrial Finance Limited,Promoter Group,Equity Shares,17035819,17.83,Equity Shares,80000,38884896.00,Disposal,Equity,16955819,17.75,27 Mar 2026,27 Mar 2026,27 Mar 2026,Market Sale,,,,,,,NSE,30 Mar 2026
530943,Aqylon Nexus Ltd,Kurjibhai Premjibhai Rupareliya,Promoter,Equity Shares,150002370,59.12,Equity Shares,1999624,106280015.00,Disposal,Equity,148002746,58.33,27 Feb 2026,27 Mar 2026,28 Mar 2026,Market Sale,,,,,,,NSE,30 Mar 2026
506642,Sadhana Nitro Chem Ltd,Abhishek Asit Javeri,Promoter & Director,Equity Shares,894526377,30.17,Equity Shares,73800000,95940000.00,Disposal,Equity,820726377,27.68,27 Mar 2026,27 Mar 2026,30 Mar 2026,Market Sale,,,,,,,BSE,30 Mar 2026
506642,Sadhana Nitro Chem Ltd,Asit Dhankumar Javeri,Promoter & Director,Equity Shares,932119734,31.44,Equity Shares,72698864,94508523.00,Disposal,Equity,859420870,28.99,27 Mar 2026,27 Mar 2026,30 Mar 2026,Market Sale,,,,,,,BSE,30 Mar 2026
544534,Jaro Institute of Technology Management and Research Ltd,Jaro Education Welfare Trust,Trust,Equity Shares,364595,1.64,Equity Shares,25000,10972462.00,Acquisition,Equity,389595,1.76,27 Mar 2026,27 Mar 2026,30 Mar 2026,Market Purchase,,,,,,,NSE,30 Mar 2026
